Id,Class,ECD (um),Count,O Wt%,Na Wt%,Mg Wt%,Si Wt%,P Wt%,S Wt%,Cl Wt%,Ca Wt%,Cu Wt%,K Wt%,Al Wt%,Cr Wt%,Fe Wt%,Ti Wt%,Zn Wt%
561,Sulfate aerosol,0.316808446,59667.0,94.977808,0.0,0.0,0.0,0.0,5.022197962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
562,Sea aerosol (Cl),0.235169282,53459.0,63.89132738,22.17186093,0.0,0.0,0.0,0.0,13.93681318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
565,Aged Sea Aerosol,0.34019109,56519.0,83.48392248,7.352406532,0.0,0.0,0.0,5.606297776,3.557369485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
566,Sea aerosol (Cl),0.488496744,55340.0,65.60932398,21.47334516,0.0,0.0,0.0,0.0,12.91732937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
567,Sea aerosol (Cl),0.212280475,61524.0,72.77091146,17.15809703,0.0,0.0,0.0,0.0,10.07099375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
570,Oxygen only,0.245815757,56909.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
571,Oxygen only,0.254011856,57220.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
572,Oxygen only,0.436455715,54217.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
584,Oxygen only,0.247890189,59662.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
595,Sulfate aerosol,0.202401491,55620.0,94.92855668,0.0,0.0,0.0,0.0,5.071441084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
597,Oxygen only,0.249947404,53332.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
598,No Classification,0.34019109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
599,No Classification,0.235169282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600,Oxygen only,0.298499315,53772.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
601,No Classification,0.284444315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
605,Oxygen only,0.263899258,54347.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
614,Oxygen only,0.271562682,54078.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618,Sea aerosol (Cl),0.559002934,55334.0,64.69491124,22.80869782,0.0,0.0,0.0,0.0,12.49639392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
620,Oxygen only,0.293676116,60209.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
