Id,Class,ECD (um),Count,O Wt%,Na Wt%,Mg Wt%,Al Wt%,Si Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Fe Wt%,Cu Wt%,P Wt%,Mn Wt%,Zn Wt%,S Wt%,Cr Wt%
118,Aluminosillicates,3.017483651,61915.0,74.75935817,0.0,2.962001972,2.674723789,9.289836138,0.0,0.0,2.688020468,1.166051067,6.459997594,0.0,0.0,0.0,0.0,0.0,0.0
119,Sillica mixtures ,2.592760826,53323.0,74.1894722,0.0,3.402075917,1.96670685,10.08090079,0.0,0.0,3.703171015,0.958381593,4.57331799,1.125961542,0.0,0.0,0.0,0.0,0.0
120,Aluminosillicates,0.67329345,57984.0,81.22204542,2.378532663,0.0,5.516349897,7.456447929,0.0,0.0,2.374537848,0.0,1.052077767,0.0,0.0,0.0,0.0,0.0,0.0
121,Aluminosillicates,2.454656293,53875.0,76.35638118,2.997008152,1.453965902,2.884798124,9.426899254,0.0,0.0,2.42587775,0.892836507,3.562222049,0.0,0.0,0.0,0.0,0.0,0.0
122,Sillica mixtures ,0.717516795,57764.0,78.88489366,0.0,4.302553087,4.305308312,5.161679164,0.0,0.0,0.0,0.0,7.345564663,0.0,0.0,0.0,0.0,0.0,0.0
123,Sillica mixtures ,0.554555141,56974.0,84.80921388,5.260691792,0.0,0.0,9.930096567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,Sillica mixtures ,0.967606467,54875.0,80.73678017,0.0,2.886849269,2.424205653,8.335187286,0.0,0.0,1.890150085,0.0,3.726835921,0.0,0.0,0.0,0.0,0.0,0.0
125,Aluminosillicates,0.580642351,54394.0,80.45259714,3.494494408,0.0,5.162044987,9.219854325,0.0,0.0,1.671014912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,Aluminosillicates,2.713817908,57973.0,72.07381725,2.068469301,0.0,9.40111205,11.01841778,0.0,0.0,4.672362655,0.0,0.76581696,0.0,0.0,0.0,0.0,0.0,0.0
127,Aluminosillicates,1.857123515,58606.0,75.51396489,3.453826532,1.147464942,5.047829449,11.39505431,0.0,0.0,2.433178388,0.0,1.008674409,0.0,0.0,0.0,0.0,0.0,0.0
129,Sillica mixtures ,0.316595101,59994.0,86.35427952,0.0,0.0,0.0,7.68205449,0.0,0.0,0.0,0.0,5.963660404,0.0,0.0,0.0,0.0,0.0,0.0
130,Aluminosillicates,1.993772343,58072.0,76.21836066,3.174044937,0.0,2.69733388,14.94145542,0.0,1.277994365,0.322579499,0.0,1.368223969,0.0,0.0,0.0,0.0,0.0,0.0
131,Aluminosillicates,0.669901522,60369.0,81.50996566,2.99188178,0.0,4.625346512,8.283402026,0.0,0.0,2.589392476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,False Si ,0.562710801,57255.0,94.95088458,0.0,0.0,0.0,5.049113557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,Aluminosillicates,6.671584915,53854.0,66.42913818,1.299451478,3.365216032,3.160195798,12.74362355,0.0,0.378151331,4.632360488,1.482782792,6.509071589,0.0,0.0,0.0,0.0,0.0,0.0
134,Sillica mixtures ,0.601833577,53866.0,84.77397561,0.0,2.686354704,0.0,8.754810691,0.0,0.0,1.674070582,0.0,2.110794,0.0,0.0,0.0,0.0,0.0,0.0
135,Sillica mixtures ,0.305611562,54072.0,79.95642424,0.0,0.0,2.669184841,14.77338076,0.0,2.601019666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,Sillica mixtures ,0.330672798,54243.0,87.99182177,0.0,0.0,1.62726678,8.248488605,0.0,0.0,2.132418938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,Aluminosillicates,2.12271161,53819.0,67.66238213,1.792209037,1.498171873,4.011895135,7.877839357,0.0,0.394709222,0.606878428,2.571281046,13.58463615,0.0,0.0,0.0,0.0,0.0,0.0
138,Aluminosillicates,0.961702773,58743.0,77.74569988,3.826164827,0.0,5.346749723,10.80456525,0.0,0.0,0.0,0.0,2.276822925,0.0,0.0,0.0,0.0,0.0,0.0
139,Sillica mixtures ,1.143493757,55627.0,78.73418331,0.0,4.613202065,1.388753392,8.760454506,0.0,0.0,3.67841199,0.0,2.825001627,0.0,0.0,0.0,0.0,0.0,0.0
141,Aluminosillicates,0.994312081,54099.0,81.20962381,3.438811749,0.0,3.891628981,9.368991852,0.0,0.0,2.090952173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,Ca rich,2.04954902,62535.0,78.50369811,0.0,0.0,0.350234029,1.296715625,0.0,0.0,13.30457777,0.0,0.762594724,0.0,5.782182142,0.0,0.0,0.0,0.0
