Id,Class,Area (µm²),Aspect Ratio,Breadth (µm),Direction (°),ECD (µm),Length (µm),Perimeter (µm),Count,O Wt%,O Wt% ?,Na Wt%,Na Wt% ?,Mg Wt%,Mg Wt% ?,Si Wt%,Si Wt% ?,P Wt%,P Wt% ?,S Wt%,S Wt% ?,Cl Wt%,Cl Wt% ?,Ca Wt%,Ca Wt% ?,Cu Wt%,Cu Wt% ?,,,,,,,,,,
250,Sulfate aerosol,0.037805516,1.406979008,0.198530252,113.90625,0.219397989,0.279327897,0.702919009,54955,92.14113355,1.733550057,,,,,,,7.858872414,1.733550243,,,,,,,,,,,,,,,,,,
252,Sea aerosol (Cl),0.227637466,1.249393275,0.502488315,108.28125,0.53836514,0.627805521,1.940902691,56200,63.52606416,1.27851516,21.04674131,1.000224426,1.995771565,0.535932602,,,,,13.4314239,0.593346171,,,,,,,,,,,,,,,,
255,Sulfate aerosol,0.050675478,1.425209375,0.226891716,105.46875,0.254011856,0.323368201,0.816996635,59272,92.28484035,1.531427819,,,,,,,7.71516338,1.531427726,,,,,,,,,,,,,,,,,,
256,Sea aerosol (Cl),0.257399255,1.91069075,0.488259135,70.3125,0.572477869,0.932912213,2.489015782,53391,62.4943912,1.437247545,19.92063224,1.074456889,2.490067482,0.618148223,,,,,15.09491503,0.700443704,,,,,,,,,,,,,,,,
257,Oxigen+Cu(trace),0.053088596,2.764254002,0.18496448,109.6875,0.259989423,0.511288804,1.235281266,60528,87.47111559,3.100750037,,,,,,,4.39741537,2.387052216,,,,,8.131470531,2.265284024,,,,,,,,,,,,
268,Aged Sea Aerosol,0.109394683,1.74412965,0.308531547,71.71875,0.37320991,0.538119018,1.329786267,62175,86.40520573,2.048140205,6.169269234,1.65166799,,,,,7.425519079,1.409301721,,,,,,,,,,,,,,,,,,
277,Sea aerosol (Cl),0.111003429,1.622586934,0.320873343,60.46875,0.375944085,0.520644893,1.2982846,56054,69.31012273,1.200879179,19.82770562,1.040673908,,,,,,,10.86216867,0.550643262,,,,,,,,,,,,,,,,
278,No Classification,0.044240497,1.918067287,0.180491255,144.84375,0.237336786,0.346194372,0.801245802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,No Classification,0.08124164,2.964155661,0.197013301,119.53125,0.321621001,0.58397809,1.304808809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,Sea aerosol (Cl),0.042631752,2.577581329,0.163573271,109.6875,0.232981613,0.421623409,1.007126013,52835,67.89627671,1.395492442,18.14314425,1.113056485,2.350236475,0.664319098,,,,,11.61034331,0.630526245,,,,,,,,,,,,,,,,
291,Sea aerosol (Cl),0.082046012,1.311420084,0.309629905,102.65625,0.323209263,0.406054875,1.098928598,52531,69.91768479,1.522731036,18.99152845,1.322427299,,,,,,,11.0907957,0.718083745,,,,,,,,,,,,,,,,
298,No Classification,0.037001143,1.456861921,0.198530252,78.75,0.217051419,0.289231164,0.725194051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,Sulfate aerosol,0.235681193,1.509121081,0.510506362,97.03125,0.547794318,0.770415913,2.197857195,59975,92.49587655,1.56408716,,,,,,,7.504124194,1.56408716,,,,,,,,,,,,,,,,,,
304,Sea aerosol (Cl),0.112612174,1.901028106,0.33024526,71.71875,0.378658518,0.627805521,1.55794152,52988,71.56114578,1.456421055,18.01169962,1.275872439,,,,,,,10.42715609,0.694550946,,,,,,,,,,,,,,,,
309,Sea aerosol (Cl),0.076415404,1.724832446,0.255253181,105.46875,0.311921647,0.440268969,1.130430264,53151,70.44811249,1.462032646,17.8664729,1.272703335,,,,,,,11.68541834,0.703654811,,,,,,,,,,,,,,,,
310,Sea aerosol (Cl),0.204310659,1.232560148,0.502533124,105.46875,0.510035695,0.619402302,1.81759844,56710,63.36010098,1.427548751,22.62525409,1.168964058,,,,,,,14.01465535,0.690012565,,,,,,,,,,,,,,,,
315,,0.460101168,1.081077359,0.75671668,56.25,0.765388138,0.81806927,2.444465698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,,0.076415404,2.043197744,0.238811087,125.15625,0.311921647,0.487938274,1.114679431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,Sea aerosol (Cl),0.166505143,1.191152931,0.476195048,126.5625,0.46043559,0.567221127,1.649744104,53706,65.83982706,1.638795435,21.21981382,1.38582103,,,,,,,12.94035614,0.787620153,,,,,,,,,,,,,,,,
339,Sea aerosol (Cl),0.053088596,1.602029923,0.21609732,54.84375,0.259989423,0.346194372,0.886524178,54921,69.80444193,1.534908824,19.54741776,1.33993784,,,,,,,10.64813659,0.71306671,,,,,,,,,,,,,,,,
354,Sea aerosol (Cl),0.078024149,1.335016325,0.288951206,73.125,0.315187931,0.385754577,1.03862768,53904,65.5241549,1.492071804,20.76733261,1.242035534,,,,,,,13.70851249,0.734771788,,,,,,,,,,,,,,,,
356,Sulfate aerosol,0.041023006,1.266216506,0.220600423,113.90625,0.228543461,0.279327897,0.747469093,59386,91.44260287,1.812855713,,,,,,,8.557396382,1.812855899,,,,,,,,,,,,,,,,,,
358,Sea aerosol (Cl),0.123873391,1.603640669,0.371819919,115.3125,0.397140404,0.596265543,1.611718229,55233,61.96396947,1.492486149,22.98876792,1.165769901,1.990586892,0.687143393,,,,,13.0566746,0.67303055,,,,,,,,,,,,,,,,
359,,0.037001143,2.061552596,0.160436671,120.9375,0.217051419,0.330748636,0.769744135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,,0.074002286,1.832246114,0.25005343,112.5,0.30695706,0.458159425,1.076653555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,,0.140765218,1.550434684,0.360322044,66.09375,0.423353093,0.558655794,1.47536556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
